polisa,os_aneks_fakturaid,naplata_do_period,dolg,lc_bodovi,lc_iznos_bod,promotor_bodovi,lc_presmetki,promotor_presmetki,pricina
20/003789,5813455,10.0,10.0,2,27.72,0,2,0,IMA_PRESMETKA
20/003789,5813456,9.22,10.0,2,27.72,0,0,0,NECELOSNO_NAPLATENA_DO_KRAJ_NA_PERIOD
20/003789,5813467,1.67,1.67,2,27.72,0,2,0,IMA_PRESMETKA
20/003789,5813479,0.7,0.7,2,27.72,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003796,5848817,15.0,15.0,1,59.4,0,1,0,IMA_PRESMETKA
20/003796,5848829,1.67,1.67,1,59.4,0,1,0,IMA_PRESMETKA
20/003796,5848841,1.0,1.0,1,59.4,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003805,6043382,15.0,15.0,2,72.0,0,2,0,IMA_PRESMETKA
20/003805,6043394,1.67,1.67,2,72.0,0,2,0,IMA_PRESMETKA
20/003805,6043406,1.0,1.0,2,72.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003809,6043420,18.33,18.33,2,96.8,0,2,0,IMA_PRESMETKA
20/003809,6043421,0.67,0.67,2,96.8,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003809,6043443,1.67,1.67,2,96.8,0,2,0,IMA_PRESMETKA
20/003809,6043455,1.24,1.24,2,96.8,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003810,6043467,20.0,20.0,2,96.0,0,2,0,IMA_PRESMETKA
20/003810,6043479,1.67,1.67,2,96.0,0,2,0,IMA_PRESMETKA
20/003810,6043491,1.3,1.3,2,96.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003823,5345831,30.0,30.0,1,194.4,0,1,0,IMA_PRESMETKA
20/003823,5345843,1.76,1.76,1,194.4,0,1,0,IMA_PRESMETKA
20/003823,5345855,1.91,1.91,1,194.4,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003832,5404975,20.83,20.83,1,135.0,0,1,0,IMA_PRESMETKA
20/003832,5404987,1.25,1.25,1,135.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003841,5561161,50.0,50.0,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561162,50.0,50.0,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561173,1.67,1.67,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561174,1.67,1.67,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561185,12.95,12.95,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561186,12.95,12.95,1,372.0,0,1,0,IMA_PRESMETKA
20/003841,5561197,3.88,3.88,1,372.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003841,5561198,3.88,3.88,1,372.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003858,5479519,19.75,19.75,1,39.11,0,1,0,IMA_PRESMETKA
20/003858,5479531,2.0,2.0,1,39.11,0,1,0,IMA_PRESMETKA
20/003858,5479543,2.66,2.66,1,39.11,0,1,0,IMA_PRESMETKA
20/003858,5479555,1.46,1.46,1,39.11,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003859,5479570,27.5,27.5,1,54.45,0,1,0,IMA_PRESMETKA
20/003859,5479582,1.67,1.67,1,54.45,0,1,0,IMA_PRESMETKA
20/003859,5479594,1.4,1.4,1,54.45,0,1,0,IMA_PRESMETKA
20/003859,5479606,1.83,1.83,1,54.45,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003862,5710838,16.67,16.67,0,0.0,0,0,0,NEMA_BODOVI
20/003862,5710850,1.67,1.67,0,0.0,0,0,0,NEMA_BODOVI
20/003862,5710862,1.1,1.1,0,0.0,0,0,0,NEMA_BODOVI
20/003880,6048546,41.67,41.67,1,380.0,0,1,0,IMA_PRESMETKA
20/003880,6048558,1.67,1.67,1,380.0,0,1,0,IMA_PRESMETKA
20/003880,6048570,5.48,5.48,1,380.0,0,1,0,IMA_PRESMETKA
20/003880,6048582,2.93,2.93,1,380.0,0,0,0,LC_BODOVI_NO_NEMA_PRESMETKA
20/003904,5716148,16.67,16.67,0,0.0,2,0,1,IMA_PRESMETKA
20/003904,5716160,1.67,1.67,0,0.0,2,0,1,IMA_PRESMETKA
20/003904,5716172,3.47,3.47,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003904,5716184,1.31,1.31,0,0.0,2,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003915,6054798,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003915,6054810,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003915,6054822,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003915,6054834,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003916,6054846,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003916,6054858,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003916,6054870,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003916,6054882,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003917,6054894,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003917,6054906,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003917,6054918,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003917,6054930,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003918,6054942,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003918,6054954,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003918,6054966,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003918,6054978,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003919,6054558,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003919,6054570,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003919,6054582,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003919,6054594,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003920,6055038,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003920,6055050,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003920,6055062,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003920,6055074,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003921,6055134,17.25,17.25,0,0.0,6,0,3,IMA_PRESMETKA
20/003921,6055146,0.79,0.79,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003921,6055158,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003921,6055170,1.13,1.13,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003922,6055182,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003922,6055194,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003922,6055206,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003922,6055218,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003923,6055230,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003923,6055242,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003923,6055254,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003923,6055266,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003924,6055278,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003924,6055290,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003924,6055302,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003924,6055314,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003925,6055326,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003925,6055338,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003925,6055350,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003925,6055362,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003926,6055374,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003926,6055386,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003926,6055398,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003926,6055410,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003927,6055422,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003927,6055434,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003927,6055446,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003927,6055458,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003928,6055470,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003928,6055482,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003928,6055494,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003928,6055506,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003929,6055086,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003929,6055098,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003929,6055110,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003929,6055122,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003930,6055518,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003930,6055530,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003930,6055542,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003930,6055554,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003931,6055566,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003931,6055578,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003931,6055590,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003931,6055602,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003932,6055614,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003932,6055626,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003932,6055638,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003932,6055650,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003933,6055662,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003933,6055674,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003933,6055686,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003933,6055698,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003934,6055710,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003934,6055722,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003934,6055734,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003934,6055746,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003935,6055781,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003935,6055793,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003935,6055805,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003935,6055817,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003936,6055830,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003936,6055842,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003936,6055854,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003936,6055866,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003937,6011933,7.83,7.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003937,6011945,0.77,0.77,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
20/003937,6011957,0.83,0.83,0,0.0,6,0,3,IMA_PRESMETKA
20/003937,6011969,0.57,0.57,0,0.0,6,0,0,PROMOTOR_BODOVI_NO_NEMA_PRESMETKA
